本週，你很可能會受到宇宙的啟發，更好地完成創意項目。因此，如果你是作家或者藝術家，就花點時間喚起靈感吧。水星和金星會帶給你很多快樂，所以如果你有孩子，本週你可以安排出更多的時間和孩子相處。如果你想獲得外部的融資或資金流入，在本週，相關的事項可能會遇到困難。但你遇到的障礙都會幫助你完善構想，最終讓整個項目變得更好。,巨蟹,http://www.go4134.com/26143242312133823458/1015-10215095845,10/14/2018,【蘇珊米勒】每周星座運勢10.15-10.21,蘇珊米勒,4
雖然依然在逆行中的金星在本周可能在職場中攪起些緊張事態，但她將得到水星的援助。這兩顆漂亮的小傢伙將攜手幫助你用非凡的領導力來清晰地表達出自己的想法。若你被要求在某個董事會議中發言，或向同事、投資者說明某個想法，那麼你的言辭將不費吹灰之力地迸發出火花，尤其在本周初期。之後將目光投向周五，你被要求說的話可能和你自己真實的興趣之間有些矛盾。若有什麼事令你苦惱，那也許這個線索表明你之前一直工作得很辛苦，需要在即將到來的周末放鬆一下。,水瓶,http://www.go4134.com/26143242312133823458/1015-10215095845,10/14/2018,【蘇珊米勒】每周星座運勢10.15-10.21,蘇珊米勒,4
水星會與金星在你家宅宮內牽手，散播暖意。當金星在此地逆行，她將與你關係宮內的火星構成棘手的角度。你可能會與現任或過去的伴侶關係緊張，但也會得到海王星憐憫之力的幫助。記住，金星逆行對所有人都有影響，你也許需要對某些人敬而遠之。,獅子,http://www.go4134.com/26143242312133823458/1015-10215095845,10/14/2018,【蘇珊米勒】每周星座運勢10.15-10.21,蘇珊米勒,4
當火星行經你的財帛宮，你也許又開始有股強烈的慾望去梳理下你的財務狀況，或尋找新的致富機會。利用這個星象去與自己的心靈談話，因為你會驚喜地發現自己的判斷是多麼流暢，尤其在本周初。隨著周末逐漸臨近，你的個人目標及與朋友之間的互動之間也許會發生些摩擦。然而在海王星的影響下，激起你的同理心，使你能撫平任何漣漪。,摩羯,http://www.go4134.com/26143242312133823458/1015-10215095845,10/14/2018,【蘇珊米勒】每周星座運勢10.15-10.21,蘇珊米勒,4
水金協力，雙魚座思維異常敏捷。這股效力將延續一周，並在水星與雙魚座守護星海王成相時達到頂點（海王近些年一直行運於雙魚座）。週五雙魚座的溝通本領十分出眾，但你卻有點想要獨自一人。為自己留點空間和時間沒什麼問題，因為世界並不會因此離你遠去，當你準備好與他人分享自己的想法，眾人已經翹首以待了。,雙魚,http://www.go4134.com/26143242312133823458/1015-10215095845,10/14/2018,【蘇珊米勒】每周星座運勢10.15-10.21,蘇珊米勒,3
鑑於愛神金星與行運於天蠍座的水星成吉相，天蠍座馬上就要有展示能言善辯本事的機會了。水星亦會大力支持海王星，這顆行星已經在代表天蠍座創意自我表達和子女的位置逡巡多年了。若你在寫書或者運作藝術項目，本週必定靈感大發。火星在天蠍座的家庭宮橫衝直撞，甚至可能會製造些摩擦。本週你可以盡可以你喜歡的方式闡述自己的想法。,天蠍,http://www.go4134.com/26143242312133823458/1015-10215095845,10/14/2018,【蘇珊米勒】每周星座運勢10.15-10.21,蘇珊米勒,4
本週，如果你正在和投資者或貸款機構商談，雙方都會獲得好處，這是因為水星和金星現在都來到了你星盤中代表資金安排的領域。周初是討論財務問題的最佳時間，因為如果我們前瞻週五，你會發現守護星火星會與水星惡言相向。請注意正確理解協議條款的內容，要確保條款符合你的最大利益。白羊們，你們是十二星座中出了名的膽大，但很快你就會發現，是時候三思而後行了。,白羊,http://www.go4134.com/26143242312133823458/1015-10215095845,10/14/2018,【蘇珊米勒】每周星座運勢10.15-10.21,蘇珊米勒,4
你寫作和表達自己思緒的能力，本周可能會為你帶來財務機會。也許你能出售自己的故事或文章，或者你的演說吸引到有影響力的人物的注意力，並完全贏得了合同。雖說逆行的金星位於你的金錢宮，可能會製造延遲或者混亂，但本周行星們會站在你這邊。不管會出現什麼樣的小波折，你的智慧和言辭都能撫平。,天秤,http://www.go4134.com/26143242312133823458/1015-10215095845,10/14/2018,【蘇珊米勒】每周星座運勢10.15-10.21,蘇珊米勒,3
水星和金星會在本週點亮你的親密關係宮，因此本週你可能會送出或收到傳遞愛意的訊息。雖然金星逆行可能意味著感情中的混亂時刻，但你也會在這段時間享受輕鬆時刻。海王星——這顆夢和靈感的行星會從你的社交宮向水星散發光芒，讓未曾說出口的浪漫話語變得更為深邃。花點時間和愛人在一起吧，如果你是單身，就下載約會軟件或者和朋友一起出去認識新朋友吧。,金牛,http://www.go4134.com/26143242312133823458/1015-10215095845,10/14/2018,【蘇珊米勒】每周星座運勢10.15-10.21,蘇珊米勒,5
本週，家是你的庇護所，這對滿世界浪的射手座來說可不常見。但是當代表交流和愛的星星一起來到了你獨處和精神世界的宮位，你很想尋求安靜的隱退。除此之外，海王星會從你的家庭生活宮里為這個角度獻上祝福之吻，鼓勵你去把家裡弄得溫暖而舒適。你的生活空間會因一束花而熠熠生輝，又或你可能會進行芬芳療愈實驗和冥想。,射手,http://www.go4134.com/26143242312133823458/1015-10215095845,10/14/2018,【蘇珊米勒】每周星座運勢10.15-10.21,蘇珊米勒,2
